,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,TO%_scaled,FTR Def_scaled,3pD%_scaled,2p%_scaled,Adj_OtoD_Margin_scaled,gilgo_score_v2,projected_points
56,SMU,118.3483605,103.8408812,16.1,32.9,35.2,53.4,14.50747928,1.854612361,1/24/25,0.779527559,0.583769634,0.367346939,0.595918367,0.667578648,0.644441057,
77,Dayton,116.5053491,105.4379068,15.5,29.6,34.6,54.5,11.06744224,0.246539767,1/24/25,0.826771654,0.670157068,0.408163265,0.640816327,0.624117189,0.644393169,
105,South Alabama,106.8489121,100.9055414,15,24,32.4,53.7,5.943370675,-2.119543888,1/24/25,0.866141732,0.816753927,0.557823129,0.608163265,0.559379622,0.642142934,
60,Arizona St.,110.3584394,97.41998238,19,26.8,29.7,50.5,12.938457,1.333658769,1/24/25,0.551181102,0.743455497,0.741496599,0.47755102,0.647755607,0.641295375,
88,Butler,112.7670068,103.3049457,17,24,31.4,50.3,9.462061081,-0.33114274,1/24/25,0.708661417,0.816753927,0.62585034,0.469387755,0.603834789,0.639588223,
83,Wake Forest,105.8998998,96.36317302,17.1,28.9,30.7,54.5,9.536726752,-0.578546681,1/24/25,0.700787402,0.688481675,0.673469388,0.640816327,0.604778115,0.638078948,
82,UC Irvine,103.2434368,93.93073667,18.4,20.6,30.9,50.6,9.312700092,-0.290552944,1/24/25,0.598425197,0.905759162,0.659863946,0.481632653,0.601947761,0.637126096,
51,San Diego St.,107.3573884,93.0832119,16.5,39.6,28.8,48.7,14.27417648,1.389647651,1/24/25,0.748031496,0.408376963,0.802721088,0.404081633,0.664631099,0.636636857,
114,North Alabama,110.7799975,106.2749667,13.5,27.2,32.5,52.3,4.505030801,-3.094131211,1/24/25,0.984251969,0.732984293,0.551020408,0.551020408,0.541207623,0.63406716,
90,Notre Dame,115.933387,106.6650584,15.9,30.7,31.9,52.6,9.268328515,-0.861969606,1/24/25,0.795275591,0.641361257,0.591836735,0.563265306,0.60138717,0.632234499,
69,San Francisco,111.652207,100.0166548,17.7,34.4,30.5,55.7,11.63555218,0.138686831,1/24/25,0.653543307,0.544502618,0.68707483,0.689795918,0.631294695,0.631906513,
87,Rutgers,113.590495,104.0328774,15.6,28.9,34.5,51.9,9.557617586,-0.695803273,1/24/25,0.818897638,0.688481675,0.414965986,0.534693878,0.60504205,0.627837083,
76,Utah,109.3581642,98.83537419,17.8,31.1,31.6,55.6,10.52279003,-0.339348081,1/24/25,0.645669291,0.630890052,0.612244898,0.685714286,0.617236048,0.62767024,
74,Bradley,111.9320138,100.8309332,17.9,36.3,28.8,55,11.10108063,-0.283590817,1/24/25,0.637795276,0.494764398,0.802721088,0.66122449,0.624542177,0.626481105,
63,Florida St.,111.8088419,99.15979805,17.2,38.6,30.5,54.1,12.6490439,0.400216778,1/24/25,0.692913386,0.434554974,0.68707483,0.624489796,0.644099159,0.626245947,
100,Appalachian St.,102.9146623,96.75784262,18,22.7,28.2,49.9,6.156819693,-2.149789987,1/24/25,0.62992126,0.85078534,0.843537415,0.453061224,0.562076339,0.624671075,
101,N.C. State,110.6057244,104.1144954,14.6,30.2,32.8,51.9,6.491229053,-2.383850278,1/24/25,0.897637795,0.654450262,0.530612245,0.534693878,0.56630127,0.622393478,
78,LSU,109.0814355,98.86216037,19.5,28.7,31.2,57.7,10.21927514,-0.490692163,1/24/25,0.511811024,0.693717277,0.639455782,0.771428571,0.613401438,0.621750182,
92,Arkansas St.,109.461662,101.2628054,14.5,38.6,28.9,49.2,8.198856672,-1.87979743,1/24/25,0.905511811,0.434554974,0.795918367,0.424489796,0.587875453,0.620795681,
70,Colorado St.,111.2880593,99.70014462,17.9,33,34.2,57.3,11.58791472,-0.041072023,1/24/25,0.637795276,0.581151832,0.43537415,0.755102041,0.630692843,0.618401025,
116,Saint Louis,109.3433586,105.0715697,18.3,23.7,31.7,60.4,4.271788859,-3.408558796,1/24/25,0.606299213,0.82460733,0.605442177,0.881632653,0.538260842,0.615102174,
98,UAB,116.2928067,109.2531942,14.8,29.4,35,51.8,7.03961252,-2.187136363,1/24/25,0.881889764,0.67539267,0.380952381,0.530612245,0.573229551,0.614444404,
61,George Mason,106.7332928,94.26374549,20.9,29.6,30.5,53.8,12.46954733,0.501623868,1/24/25,0.401574803,0.670157068,0.68707483,0.612244898,0.641831397,0.611023665,
106,Davidson,114.3665463,108.1625474,14.5,30.3,36,54.3,6.203998838,-2.735610709,1/24/25,0.905511811,0.651832461,0.31292517,0.632653061,0.5626724,0.610607988,
93,Minnesota,109.7386044,101.9499501,15.8,30.2,33.8,51.3,7.788654331,-1.892020858,1/24/25,0.803149606,0.654450262,0.462585034,0.510204082,0.582692952,0.610407046,
79,Grand Canyon,107.9313136,97.93781359,17.6,31.3,31,48.9,9.993500013,-0.800314992,1/24/25,0.661417323,0.62565445,0.653061224,0.412244898,0.610548993,0.609662644,
146,Purdue Fort Wayne,114.0000116,112.3137646,13.3,26.1,35.1,53.4,1.686247017,-4.85213932,1/24/25,1,0.761780105,0.37414966,0.595918367,0.505595082,0.608866869,
54,North Texas,112.4653863,98.04283261,17.7,39.8,33.1,50.2,14.42255367,0.960857739,1/24/25,0.653543307,0.403141361,0.510204082,0.465306122,0.666505698,0.603735876,
99,Middle Tennessee,109.7968112,103.171468,16.9,32.4,30.2,52.2,6.625343187,-2.677140656,1/24/25,0.716535433,0.596858639,0.707482993,0.546938776,0.567995669,0.603713823,
73,UCF,115.0337968,103.3664745,17.4,29.6,35.3,47.5,11.66732237,0.027266643,1/24/25,0.677165354,0.670157068,0.360544218,0.355102041,0.63169608,0.602462668,
86,Yale,112.9496445,103.0708678,15.9,37,34.5,52.1,9.878776769,-1.301646171,1/24/25,0.795275591,0.476439791,0.414965986,0.542857143,0.609099579,0.59961255,
84,South Carolina,107.9151076,98.2199364,18.7,29.1,32.6,51.1,9.695171167,-1.023395588,1/24/25,0.57480315,0.683246073,0.544217687,0.502040816,0.606779904,0.599587279,
103,High Point,117.7216681,110.9578552,15.4,36.4,33.8,55.8,6.76381283,-2.894674174,1/24/25,0.834645669,0.492146597,0.462585034,0.693877551,0.569745096,0.599508844,
108,St. Thomas,115.4360061,109.6406647,14.6,37.5,35,58.2,5.795341387,-3.477891754,1/24/25,0.897637795,0.463350785,0.380952381,0.791836735,0.557509418,0.598566402,
52,Memphis,112.0539342,97.35517334,20.6,33.5,32.4,50.6,14.69876089,1.299194141,1/24/25,0.42519685,0.568062827,0.557823129,0.481632653,0.669995302,0.597865153,
80,Georgetown,105.0335127,95.35942825,19.3,27.9,33.7,53.1,9.674084496,-1.052858457,1/24/25,0.527559055,0.714659686,0.469387755,0.583673469,0.606513494,0.596160473,
66,Drake,111.4077228,99.18425696,19.8,38.7,30.7,55.8,12.22346582,-0.270535848,1/24/25,0.488188976,0.431937173,0.673469388,0.693877551,0.638722402,0.595900927,
131,Northern Iowa,111.6451834,108.7944721,15.5,29.1,34.7,57.6,2.850711356,-4.633916073,1/24/25,0.826771654,0.683246073,0.401360544,0.767346939,0.520306936,0.59523582,
85,Washington St.,111.6344944,101.7597569,21,31.3,31.5,58.8,9.874737547,-1.186960096,1/24/25,0.393700787,0.62565445,0.619047619,0.816326531,0.609048547,0.594214535,
97,UNLV,110.4240722,103.70633,15.6,30.6,35.4,49.9,6.717742196,-2.719077261,1/24/25,0.818897638,0.643979058,0.353741497,0.453061224,0.569163039,0.590988461,
129,Rhode Island,105.8284744,103.0194468,17.7,30.2,27.2,52.3,2.809027626,-4.690793148,1/24/25,0.653543307,0.654450262,0.911564626,0.551020408,0.519780303,0.590881401,
107,South Dakota St.,110.2825486,104.3798304,18.1,31.1,32.1,55.7,5.902718192,-3.244991903,1/24/25,0.622047244,0.630890052,0.578231293,0.689795918,0.558866018,0.588420641,
104,Washington,107.7827489,101.7772549,17,35.6,28.9,50.1,6.005494078,-3.330248612,1/24/25,0.708661417,0.513089005,0.795918367,0.46122449,0.560164489,0.588253726,
128,Loyola Marymount,104.2074855,101.3740533,16.1,26.7,32.4,49.6,2.833432154,-4.576856386,1/24/25,0.779527559,0.746073298,0.557823129,0.440816327,0.52008863,0.585852175,
94,Kansas St.,112.1595716,104.8422195,17.8,27.5,36.4,53.5,7.317352083,-2.40506523,1/24/25,0.645669291,0.72513089,0.285714286,0.6,0.576738516,0.584715506,
118,UNC Wilmington,111.501011,107.213169,15.8,32,33.1,51.9,4.287841973,-4.121816396,1/24/25,0.803149606,0.607329843,0.510204082,0.534693878,0.538463657,0.584594503,
136,George Washington,104.9672104,102.8502803,17.4,29.5,29.7,52.9,2.116930043,-5.179122674,1/24/25,0.677165354,0.672774869,0.741496599,0.575510204,0.511036336,0.57993169,
