,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,gilgo_score_v2
91,UC Irvine,108.8309274,100.1114726,0.391666667,0.578313253,0.475806452,0.509090909,0.580164392,0.479055062,1/23/25,0.535915791
93,Louisiana Tech,108.1139066,99.49625945,0.566666667,0.481927711,0.451612903,0.390909091,0.578636512,0.471412746,1/23/25,0.538842563
100,Belmont,109.5254226,102.2053126,0.391666667,0.331325301,0.411290323,0.640909091,0.55916369,0.470913537,1/23/25,0.505303781
97,George Mason,108.9625702,100.6515465,0.508333333,0.475903614,0.556451613,0.540909091,0.574034853,0.46978994,1/23/25,0.549802691
90,Loyola Chicago,104.7201871,96.239412,0.55,0.61746988,0.5,0.481818182,0.576582402,0.465865837,1/23/25,0.561262593
106,Charlotte,108.6827113,102.1403835,0.291666667,0.46686747,0.258064516,0.581818182,0.547491103,0.463408925,1/23/25,0.478096119
105,Northern Iowa,109.3045189,102.5147367,0.266666667,0.436746988,0.572580645,0.522727273,0.551204782,0.46211398,1/23/25,0.496439137
101,Stanford,110.0109708,102.830302,0.483333333,0.280120482,0.629032258,0.6,0.557071024,0.461372634,1/23/25,0.528655435
112,Vermont,104.2923794,98.74343311,0.158333333,0.325301205,0.290322581,0.568181818,0.532582906,0.460548375,1/23/25,0.437117773
103,St. Bonaventure,111.235993,104.1614141,0.35,0.539156627,0.451612903,0.472727273,0.555478877,0.460333835,1/23/25,0.506229238
108,Hofstra,108.4434092,102.1065711,0.308333333,0.391566265,0.540322581,0.686363636,0.544407212,0.457685322,1/23/25,0.506120497
102,Arkansas,110.0466552,102.9054194,0.358333333,0.692771084,0.483870968,0.518181818,0.55647923,0.455557594,1/23/25,0.530405021
110,Cornell,112.0322473,105.7831236,0.416666667,0.496987952,0.459677419,0.968181818,0.543090836,0.452036087,1/23/25,0.550267903
107,UAB,113.1966365,106.5706269,0.4,0.46686747,0.556451613,0.440909091,0.548746961,0.451745697,1/23/25,0.509234978
111,Western Carolina,108.0914437,102.1536081,0.225,0.493975904,0.483870968,0.427272727,0.538419171,0.451621357,1/23/25,0.472049451
104,Rutgers,98.34041718,92.097481,0.383333333,0.551204819,0.387096774,0.15,0.542997977,0.445099818,1/23/25,0.470468038
109,Oklahoma St.,108.7834535,102.4882296,0.566666667,0.34939759,0.491935484,0.536363636,0.543782685,0.44506589,1/23/25,0.52244281
115,Southern Illinois,108.8140835,103.5799287,0.4,0.61746988,0.201612903,0.590909091,0.527858665,0.436573125,1/23/25,0.493953406
125,UNC Wilmington,112.7818225,108.4442552,0.066666667,0.515060241,0.612903226,0.531818182,0.514403106,0.435692591,1/23/25,0.457740721
116,Santa Clara,108.7088763,103.5079426,0.516666667,0.521084337,0.306451613,0.554545455,0.527360098,0.431011394,1/23/25,0.507693426
124,Oakland,108.8623168,104.5877519,0.325,0.328313253,0.483870968,0.481818182,0.513457596,0.430168261,1/23/25,0.461164178
119,Davidson,105.054712,100.3829568,0.358333333,0.506024096,0.39516129,0.472727273,0.519418437,0.429685179,1/23/25,0.47853089
114,Seattle,104.4567031,99.33977251,0.533333333,0.596385542,0.096774194,0.440909091,0.526099419,0.429615694,1/23/25,0.487906718
122,High Point,114.5431217,109.7311281,0.325,0.644578313,0.532258065,0.618181818,0.52152307,0.427386336,1/23/25,0.514015571
118,California,108.0148117,103.1847356,0.35,0.515060241,0.629032258,0.345454545,0.521794443,0.425991911,1/23/25,0.489132669
120,Georgia Tech,108.6056027,103.8394184,0.475,0.469879518,0.379032258,0.372727273,0.520835584,0.425642629,1/23/25,0.482772592
128,Drexel,107.2129759,103.4263909,0.375,0.322289157,0.282258065,0.45,0.506134224,0.424990098,1/23/25,0.442878649
117,Michigan,110.2120039,104.9548253,0.55,0.436746988,0.661290323,0.413636364,0.528204195,0.424381682,1/23/25,0.523994492
126,Arizona St.,103.3214392,99.49800935,0.233333333,0.457831325,0.491935484,0.372727273,0.506687175,0.42313192,1/23/25,0.44741447
138,UC San Diego,110.8259228,107.8460696,0.2,0.406626506,0.459677419,0.536363636,0.494027176,0.417375872,1/23/25,0.441901836
136,Akron,105.1687546,101.9660202,0.408333333,0.403614458,0.225806452,0.65,0.49737207,0.415882791,1/23/25,0.463936107
123,Notre Dame,102.6255941,98.45278516,0.591666667,0.343373494,0.370967742,0.322727273,0.511930489,0.415630699,1/23/25,0.477320279
130,Morehead St.,107.471762,103.8670739,0.516666667,0.490963855,0.314516129,0.668181818,0.503404403,0.411420318,1/23/25,0.50197971
113,UT Arlington,109.2955466,103.5331581,0.791666667,0.78313253,0.540322581,0.495454545,0.535786145,0.410928917,1/23/25,0.595681297
137,South Dakota St.,108.2485311,105.1943542,0.383333333,0.331325301,0.612903226,0.690909091,0.495142591,0.410178956,1/23/25,0.490206915
134,Arkansas St.,112.7497818,109.2535407,0.325,0.56626506,0.588709677,0.5,0.501776881,0.409888253,1/23/25,0.489373199
129,Western Kentucky,105.479802,101.7809961,0.533333333,0.512048193,0.362903226,0.518181818,0.504816877,0.408694686,1/23/25,0.498248093
133,Wichita St.,104.9410739,101.6846943,0.483333333,0.370481928,0.387096774,0.431818182,0.498177153,0.408543114,1/23/25,0.467211516
135,Tarleton St.,108.4815804,105.1618945,0.383333333,0.542168675,0.451612903,0.436363636,0.499127224,0.407487647,1/23/25,0.476137274
139,Youngstown St.,107.0642387,104.5443704,0.291666667,0.442771084,0.491935484,0.536363636,0.487123941,0.404741695,1/23/25,0.458234676
144,Toledo,111.6529246,109.5680483,0.258333333,0.310240964,0.508064516,0.527272727,0.480595787,0.404493027,1/23/25,0.436894047
132,West Virginia,108.8102478,105.394557,0.525,0.364457831,0.564516129,0.336363636,0.500568021,0.404307424,1/23/25,0.481598734
143,St. Thomas,106.8948188,104.8965276,0.233333333,0.391566265,0.475806452,0.663636364,0.47929636,0.403898606,1/23/25,0.449905405
127,Sam Houston St.,105.9646698,102.1602497,0.566666667,0.63253012,0.370967742,0.277272727,0.506401885,0.401908241,1/23/25,0.495243729
121,Troy,106.8917121,102.3172895,0.633333333,0.71686747,0.64516129,0.354545455,0.517957717,0.401480881,1/23/25,0.551896253
142,Ohio,107.9263882,105.8606826,0.175,0.563253012,0.475806452,0.522727273,0.480308083,0.400651069,1/23/25,0.446218944
131,Missouri,108.4102204,104.9686495,0.4,0.798192771,0.524193548,0.518181818,0.500956416,0.39921836,1/23/25,0.519178217
141,Missouri St.,104.0640491,101.9955345,0.441666667,0.268072289,0.411290323,0.490909091,0.480350238,0.39806878,1/23/25,0.448054812
147,Liberty,108.4093451,106.5041143,0.35,0.430722892,0.35483871,0.663636364,0.477899752,0.397935511,1/23/25,0.459637905
149,Tulane,109.3784491,107.4975618,0.258333333,0.503012048,0.564516129,0.640909091,0.477534418,0.39538368,1/23/25,0.469734093
145,Wright St.,115.8069717,113.6832991,0.375,0.421686747,0.741935484,0.836363636,0.481178023,0.393919485,1/23/25,0.514737069
140,UNC Greensboro,109.0145424,106.6707926,0.358333333,0.596385542,0.516129032,0.4,0.484480837,0.392112784,1/23/25,0.471994244
151,Furman,108.993111,107.6246261,0.325,0.376506024,0.5,0.631818182,0.469844525,0.390503556,1/23/25,0.456075618
148,Louisiana,105.0611876,103.2199941,0.4,0.725903614,0,0.513636364,0.476938711,0.390426384,1/23/25,0.450672699
154,Murray St.,107.3219734,106.3652547,0.2,0.352409639,0.733870968,0.495454545,0.463664933,0.385946048,1/23/25,0.440169272
155,Delaware,104.5080593,103.8663489,0.333333333,0.334337349,0.274193548,0.581818182,0.458937438,0.385678206,1/23/25,0.42206913
153,Chattanooga,109.7149287,108.6370689,0.425,0.340361446,0.580645161,0.713636364,0.465482961,0.381976198,1/23/25,0.47959677
161,Colgate,102.8704701,102.925623,0.35,0.256024096,0.233870968,0.590909091,0.448479245,0.378914197,1/23/25,0.407965784
