,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
43,Mississippi,121,102.8,0.867,3–4,3,7,48.7,58.3,36.7,44,13.4,18.2,26.6,33,69.2,50.8,59.2,30.1,38.2,5.8,11.4,40,63.2,36.7,46.4,68.3,76.185,79.496,2.701,"2,025",0,0,56.397,,77.1,75.1,1.082,1.187,62.605,Mississippi
44,Liberty,119.4,101.5,0.866,7–1,7,8,61.9,46.9,31.9,27.1,15.7,15.3,17.5,29.2,66,60.7,48.1,42.1,30,9.9,10.2,64.7,43.1,51,38.1,64.9,75.67,79.4,2.265,"2,025",0,0,2.365,,70.1,69.5,1.163,1.01,13.117,Liberty
45,Nebraska Omaha,115.6,98.4,0.864,6–0,6,6,56,45.9,36.2,33.2,13,14.4,30.5,25.3,70.6,57.4,44.6,35.8,31.6,7.3,8.7,48.6,42.1,37.3,47,68.9,77.229,79.995,2.432,"2,025",0,0,0.2,,71.4,70.2,1.195,0.99,7.145,Nebraska Omaha
46,Michigan,108.9,92.9,0.862,5–4,5,9,47.9,45.1,31.7,28.8,18.8,12.6,29.9,30.2,69.7,54.3,43.2,25.5,31.7,5.7,8.6,58.5,48.4,39.8,42.2,68.5,79.111,83.403,2.239,"2,025",0,0,57.267,,72.3,77.1,0.99,1.031,52.041,Michigan
47,Mississippi St.,120.2,102.6,0.861,3–5,3,8,50.1,55.4,31.6,38.6,14.6,18,31.6,30.6,71.7,52.7,55.2,31.1,37.1,14,6.8,50.9,54.3,43.7,47.3,70.1,77.214,80.466,2.053,"2,025",0,0,58.075,,76.4,70.5,1.114,1.122,45,Mississippi St.
48,Illinois,123.4,105.4,0.86,4–3,4,7,52.7,55.8,32.1,26.3,14.4,11.8,32.8,30.8,71.6,57.8,53.8,31.2,39.9,8.7,6.8,55.7,53.7,46.4,32.2,70.7,78.84,82.012,1.177,"2,025",0,0,74.592,,76.1,72.7,1.146,1.2,54.943,Illinois
49,Cincinnati,112.4,96.1,0.858,3–5,3,8,47.2,51.7,19.5,19.9,15.6,20.2,30.6,31.6,65.6,50.8,50,27.6,37,10.6,6.3,47.8,51.4,37.9,31.9,65.9,78.28,81.518,2.125,"2,025",0,0,54.633,,68.4,73.6,1.002,1.03,43.513,Cincinnati
50,Creighton,120.9,104,0.85,6–2,6,8,56.1,51.9,24.6,14.3,17.1,10.9,31.2,25,64.5,61.7,47.6,33.2,39.7,8.8,12.1,63,45.4,47.3,35.9,64.6,78.968,83.115,1.954,"2,025",0,0,59.745,,65.5,63,1.136,1.085,28.868,Creighton
51,SMU,115.2,99.5,0.844,4–4,4,8,54.6,51.6,38.1,34.4,20,19.4,35,28.7,66.9,55.4,51.8,35.3,34.2,8.8,9.2,49.1,60.8,32.1,43.3,67.6,77.829,82.288,2.222,"2,025",0,0,59.084,,69.7,72.8,1.098,1.051,31.932,SMU
52,McNeese St.,120.3,103.9,0.844,7–0,7,7,57,45.4,39.2,22.2,14.3,18.4,33.3,30.9,66.8,52.4,45.1,44,30.5,13.7,8.6,51.8,53.4,33.4,44.9,67.3,76.833,78.891,2.515,"2,025",0,0,25.961,,72,72.3,1.219,0.967,8.289,McNeese St.
