,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
58,San Diego St.,111.8,97.4,0.83,2–2,2,4,53.1,51,39.5,37.5,14.3,20.1,19.5,30.7,64.8,56.5,55.3,32.6,31.6,17,12.2,59.4,40.9,45.2,54.8,67.2,78.127,81.937,1.611,"2,025",0,0,41.617,,57.8,69.2,1.045,1.026,24.5,San Diego St.
59,Utah,118.1,103.1,0.827,1–3,1,4,49,54.7,40.1,36.6,17.6,15.9,41.2,23.4,70.9,52.2,54.3,30.2,37,7.1,8.8,60.4,47.3,46,39.7,70.3,79.647,82.396,2.127,"2,025",0,0,54.119,,66.3,72.9,1.107,1.114,38.408,Utah
60,Arkansas,115.4,101.1,0.821,3–2,3,5,51.6,50,43.5,34.6,17.8,13.9,31,25.1,72,55.2,47.1,30.6,36.4,15.2,8,51.5,48.1,38.9,38.2,71.9,78.136,81.87,1.364,"2,025",0,0,74.808,,75.8,77.6,1.078,1.089,40.649,Arkansas
61,West Virginia,106.7,93.7,0.817,2–2,2,4,47.3,50,22.8,43.7,17.7,19.2,28.3,31.9,66.4,46.6,50,32.1,33.3,7.6,9.9,54.7,49.5,44.7,38,64.8,77.095,80.401,1.882,"2,025",0,0,39.077,,64.8,69.9,0.976,1.047,39.937,West Virginia
62,Kansas St.,100.2,88,0.817,3–2,3,5,43.9,46.1,27.2,26.7,17.2,15.7,24.3,24.3,66.1,50,51.4,22.3,25,6.8,10.2,55.9,60.2,36.9,37.9,66.4,77.263,81.178,2.307,"2,025",0,0,47.744,,76.3,67.1,0.917,0.95,40.663,Kansas St.
63,Georgia Tech,109.1,95.9,0.815,3–2,3,5,50.2,46.6,23.2,25.2,18.2,14.3,35.8,27.8,67.2,49.5,47.5,34.3,30.2,10.7,14,54.5,52.8,33.8,42.2,69.2,77.833,81.089,1.532,"2,025",0,0,33.602,,74.3,75.3,1.057,1.021,31.824,Georgia Tech
64,DePaul,118.9,104.6,0.814,3–1,3,4,59.9,49.8,25.9,28.6,16.7,13.9,21,30.3,66.4,57.8,52.2,41.9,30.6,12.1,7.4,59.8,48.2,40.8,38.4,66.2,77.158,80.02,2.058,"2,025",0,0,38.77,,71.2,71.2,1.12,1.088,26.488,DePaul
65,Northern Colorado,111.5,98.1,0.813,4–1,4,5,58.7,46.5,36,41.9,18.6,16.8,27,19.8,66.7,58.7,45.8,39.2,32.1,4,6.6,46.3,30.8,36.7,31.4,67.9,76.963,79.672,2.479,"2,025",0,0,0.2,,75.8,77.8,1.145,0.971,7.925,Northern Colorado
66,Syracuse,116.4,102.5,0.812,2–3,2,5,53.2,56.7,37.6,43.7,20.1,15.5,34.6,24.3,66.8,54.7,58.3,33.3,34.8,6.5,8.9,55.2,47.1,31.2,25.7,67.5,77.679,80.881,2.181,"2,025",0,0,61.278,,72.4,67.5,1.088,1.118,28.888,Syracuse
67,Cornell,126.2,111.2,0.811,3–1,3,4,68.5,51.6,24.4,30.6,13.5,11.8,17.8,20.3,72.3,70.7,55.5,44.3,31.3,8.8,2.6,61,47.3,51.3,45.6,70.5,76.945,79.452,2.03,"2,025",0,0,2.685,,81,67.5,1.29,1.079,9.714,Cornell
68,Utah Valley,111.7,98.6,0.808,5–1,5,6,53.9,41.7,52,34.9,19.7,15.4,34,25,70.2,56.3,41.7,31.9,27.7,11.8,10.9,53.5,53.7,29.1,28.5,69.4,78.057,80.758,1.503,"2,025",0,0,2.572,,71.4,72.6,1.111,0.916,9.777,Utah Valley
69,Drake,107.6,95.2,0.804,4–0,4,4,49.3,48.4,44,26.5,15.6,22.6,36.6,27.4,56,52.5,48,29.5,32.5,14.7,8.2,57.5,69.7,39,44.9,56.2,77.41,79.116,2.226,"2,025",0,0,0.2,,69.3,65.3,1.119,0.915,11.193,Drake
70,Pittsburgh,109.9,97.3,0.802,1–3,1,4,47.8,50.7,31.5,42.9,16.5,19.5,30.6,26.2,66.6,50,53.6,30.2,31.6,6.4,7.9,54.7,57.3,45.7,46.3,67.4,78.109,81.987,1.859,"2,025",0,0,38.232,,76.7,72.7,1.044,1.022,30.61,Pittsburgh
71,Kennesaw St.,124.7,110.5,0.801,3–1,3,4,55.8,52.4,36.9,43.3,14.7,11.4,26.8,25.2,67.9,52.9,50,39.4,36.9,14.1,9.9,56.2,51,46.2,44.6,70.1,77.385,79.816,1.357,"2,025",0,0,7.296,,80.7,66,1.171,1.135,31.063,Kennesaw St.
72,UNC Wilmington,112.3,99.7,0.797,4–0,4,4,52,45.9,39,28.8,12.8,15.5,31.5,27.7,66.3,56.3,43.4,29.8,32.7,17.1,7.6,50.9,50,36.8,44.6,64.5,77.644,80.484,2.555,"2,025",0,0,0.2,,83.1,71.6,1.173,0.988,6.449,UNC Wilmington
73,Washington St.,120,106.8,0.793,2–1,2,3,57.2,47.9,30.8,41.8,14.7,16.9,28.6,37.2,75,55.1,49.6,40.3,30.1,11.6,5.1,72.9,54.9,39.5,37.6,74.2,78.372,81.713,1.656,"2,025",0,0,4.198,,60,74.1,1.151,1.093,18.383,Washington St.
74,Ohio St.,119.8,106.7,0.791,1–2,1,3,51.9,55.7,43.4,37.5,13.4,14.8,29.5,33.7,66.3,55.9,55.4,31.3,37.5,6.3,12.7,50,51.7,44,39.1,65.2,76.678,79.626,1.599,"2,025",0,0,67.504,,72.2,75.4,1.135,1.186,32.884,Ohio St.
75,UC Irvine,120.3,107.2,0.79,4–1,4,5,57.4,55.3,38.1,22.9,17.1,18.6,33.1,23.8,67.8,58.4,47.7,37,42.7,7.8,6.2,56.7,58.1,36,46.1,67.8,76.605,80.405,1.836,"2,025",0,0,7.357,,87.7,70.8,1.215,1.062,15.714,UC Irvine
76,Cincinnati,106.7,95.2,0.788,1–4,1,5,45.5,53.4,18.3,24.1,17.9,21.8,30.7,30.8,68,50.3,51.5,25.2,38.8,11.4,5.7,50.4,48.1,38.1,28.4,67.3,78.28,81.518,2.125,"2,025",0,0,54.633,,68.4,70.6,0.949,1.026,47.266,Cincinnati
77,New Mexico St.,112.3,100.5,0.782,2–2,2,4,45.8,47.1,41.5,39.6,11.9,12.7,37.5,21.4,63.2,45.1,44.7,31.3,32.7,10.6,11.1,45.3,60.8,35.2,54.6,61.9,76.318,80.284,2.556,"2,025",0,0,2.443,,63.3,76.8,1.1,1.021,14.686,New Mexico St.
78,Grand Canyon,115.5,103.4,0.781,5–1,5,6,54.6,46.9,50.6,38.9,17.1,19.7,34.2,32.3,70.4,59.9,41.6,27.6,37.9,13.9,7.4,50,56.6,28.8,34.9,70.3,77.889,80.515,2.47,"2,025",0,0,26.711,,72.7,72.5,1.149,1.003,11.13,Grand Canyon
79,North Alabama,116,103.9,0.78,2–1,2,3,51.7,46.6,43.8,40,10.5,17.6,33.3,24.5,66.4,45.5,40.7,43.6,36.2,13.2,13.8,41.3,50,30.9,43.1,67.2,75.78,78.984,2.118,"2,025",0,0,6.3,,62.8,84.4,1.17,1.019,11.906,North Alabama
80,Saint Louis,120.8,108.3,0.778,3–2,3,5,63.1,52.9,29.9,21.9,17.6,14.7,20.7,28.2,66.5,62.9,52.1,42.2,36.1,6.9,11.3,54.3,46.5,54.2,39.4,67.7,76.886,80.293,2.238,"2,025",0,0,11.029,,74.1,72.1,1.179,1.106,17.598,Saint Louis
81,Stanford,111.4,99.9,0.778,2–3,2,5,51.3,51.7,18.3,33.6,16.6,18.8,26.9,34.4,62.7,47.1,54.1,37.7,31.6,10.6,1.3,56.7,37.4,43.7,36.6,62.3,78.641,82.47,1.766,"2,025",0,0,42.331,,78.4,70,1.04,1.085,40.53,Stanford
82,Duquesne,116,104.1,0.776,1–3,1,4,55.1,55.5,29.6,30,21.6,21.6,32.3,28.7,66.1,56.1,53.8,35.9,38.8,12.1,8.9,50,51.9,45.6,39.2,67.8,76.827,80.158,2.079,"2,025",0,0,0.2,,67.2,80,1.078,1.074,24.791,Duquesne
83,San Francisco,114.7,103,0.775,1–2,1,3,50,56.4,24,39.4,16.8,13.6,33.9,22.4,73.6,53,56.8,29.4,37.1,4.2,6.1,43.3,66.7,34,34.4,70.3,77.581,80.977,1.751,"2,025",0,0,26.844,,77.1,73.2,1.074,1.155,44.442,San Francisco
84,Minnesota,108.8,97.9,0.771,1–3,1,4,48.1,48.3,27.5,37.9,17.6,14.3,31.3,32.7,64.5,47.4,53.8,32.9,24.7,10.1,10.4,54.5,51.9,33.9,32.8,64.6,77.62,81.282,2.534,"2,025",0,0,41.33,,64.1,66.3,0.995,1.074,43.073,Minnesota
