,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
66,Boston College,115.65229054488503,103.8803434464454,13.5,26.3,36.3,52.7,11.77194709843964,1.1308377300481798,2024-01-10
70,Richmond,106.37318043625106,95.9661004483353,12.3,26.0,29.1,53.3,10.407079987915765,1.1219187926286156,2024-01-10
54,Kansas St.,109.06094578524043,96.30828759312894,20.0,24.5,33.2,52.4,12.752658192111497,1.0443714971880123,2024-01-10
65,Mississippi,114.32472563537362,102.68754156502658,15.2,26.700000000000003,31.0,49.1,11.637184070347047,1.0416322829116982,2024-01-10
57,Saint Joseph's,109.07538423085748,96.87879455774822,16.7,32.300000000000004,29.1,53.9,12.196589673109258,0.9032697005966464,2024-01-10
56,South Carolina,112.5193057054119,99.84966394479238,15.9,31.4,34.7,51.4,12.669641760619513,0.8873814739779018,2024-01-10
59,Memphis,109.87853649642848,97.8588761079917,18.6,27.1,30.9,52.4,12.019660388436776,0.7733428369464328,2024-01-10
67,North Carolina St.,111.43253061670146,100.16636795152326,12.5,33.800000000000004,33.1,51.1,11.2661626651782,0.49705922575870165,2024-01-10
50,North Texas,107.91850427375738,94.55810813245743,20.0,37.4,29.6,47.7,13.360396141299944,0.35594164619296587,2024-01-10
64,St. Bonaventure,111.24152022030464,99.66077930537448,16.900000000000002,33.800000000000004,30.1,53.1,11.58074091493016,0.24975195810739592,2024-01-10
73,Southern Illinois,111.4320567197488,101.1504215119328,16.6,33.2,25.8,53.0,10.281635207815995,-0.09520252323224332,2024-01-10
71,Michigan,116.82018422086676,105.47736324939726,18.6,28.9,35.6,55.3,11.342820971469507,-0.09682920740360101,2024-01-10
68,Virginia Tech,108.43371280697,97.689600396164,17.5,30.6,31.4,52.5,10.744112410805997,-0.18419142940834177,2024-01-10
69,Washington St.,110.3622116725388,99.45416484228797,16.1,34.9,32.1,53.8,10.90804683025084,-0.2680414335469887,2024-01-10
77,Georgia,107.64611159263488,98.13180933037954,16.1,26.200000000000003,30.2,49.4,9.514302262255342,-0.28477562002424217,2024-01-10
82,Stanford,110.61163702785092,101.1510758155364,18.2,23.9,34.4,54.7,9.460561212314516,-0.6323076604881446,2024-01-10
72,USC,113.43992182227856,102.46185649541614,18.7,30.6,36.3,52.3,10.97806532686242,-0.6410801506139241,2024-01-10
84,UNLV,112.0850485548752,102.8452609695178,15.3,28.1,33.6,53.5,9.239787585357405,-0.6444795729319837,2024-01-10
63,San Francisco,107.60177966049072,96.26914419979292,19.4,38.2,30.5,56.8,11.332635460697801,-0.6539923689743412,2024-01-10
83,Minnesota,110.20811039271148,100.83707295068008,17.9,26.6,33.0,57.3,9.371037442031394,-0.6989671603608496,2024-01-10
80,James Madison,111.83549454318688,102.18557432402756,14.9,37.2,29.5,55.2,9.649920219159327,-0.7989486663128111,2024-01-10
