Rank,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
336,Chattanooga,110.8,134.7,0.096,1–2,1,3,58.4,56.5,18.8,31.9,9.3,8.4,24.5,25,67.9,60.8,55.1,37.2,38.5,7.9,6.2,51.1,47.7,49.2,51.9,69,75.689,79.457,1.964,"2,026",0,0,0.2,,77.8,72.9,1.233,1.238,1.203,Chattanooga
337,North Carolina Central,102.1,124.7,0.091,4–2,4,6,49.5,49.7,41.6,32.8,17,23.7,32.5,43.8,63.3,47.5,49.1,35.3,33.9,9.5,12.3,44.2,55.1,36.3,34.3,64.8,75.874,78.626,2.552,"2,026",0,0,0.2,,77.4,71.8,1.083,1.063,2.091,North Carolina Central
338,Tennessee Martin,84.8,103.7,0.09,2–2,2,4,43.6,47.4,22.5,27.4,20.8,22.4,28.2,30.8,63.7,48.3,45.8,25.5,33.3,12.2,12.9,54.9,46,46.8,38.2,63,78.409,80.111,0.996,"2,026",0,0,0.2,,75.5,79.3,0.891,0.969,3.412,Tennessee Martin
339,Morgan St.,98.9,121,0.09,3–2,3,5,46.1,45.7,45,41.2,14.8,14.5,27.8,39,71.2,42.5,48.2,34.5,25.3,8,12.8,53,49.3,39.9,24.1,70.5,76.171,79.701,2.592,"2,026",0,0,0.2,,77.6,68.1,1.04,1.076,1.658,Morgan St.
340,Lipscomb,100.4,123.2,0.087,1–2,1,3,50.3,57.7,22.3,22.5,12.6,15.1,25.9,32.7,66.3,58.4,59.4,28.4,36.8,4.7,7.9,58.2,50.5,51.6,41.8,65.7,77.201,80.926,2.161,"2,026",0,0,0.2,,63.4,68.3,1.06,1.196,5.562,Lipscomb
341,Rider,90.4,111.3,0.084,0–2,0,2,39.2,55.6,23.2,43,15.2,18.1,25,25.4,69.2,42.5,47.7,22.2,45.2,4.6,6.3,36.4,56,36,39.3,69.6,77.678,80.42,1.755,"2,026",0,0,13.211,,72.4,80.4,0.86,1.128,11.518,Rider
342,Norfolk St.,104.1,129.2,0.077,1–3,1,4,47.4,55.1,39.3,50,14.7,16.1,36.6,30.5,71.5,50.6,52.7,26.4,38.9,8.5,11.1,41.8,58.1,28.6,42.4,69.6,76.652,79.433,2.411,"2,026",0,0,0.208,,78.8,75,1.108,1.157,2.101,Norfolk St.
343,Holy Cross,97.1,120.7,0.076,1–3,1,4,46.9,56,33.2,25.2,13.8,12.3,23,22.2,65.3,48.3,55.2,29.5,38.3,7.6,8.3,51.6,45.9,35,35.8,66.4,76.606,78.85,1.428,"2,026",0,0,12.006,,86.5,82.5,1.046,1.149,5.004,Holy Cross
344,VMI,102.2,127.1,0.075,0–3,0,3,48.6,57.9,28.2,19.5,11.2,10.2,27.3,32.3,65.5,52.4,61.9,30.3,35.3,4.8,3.7,46.6,53.7,54.7,44.7,65.5,76.624,78.543,1.287,"2,026",0,0,0.2,,66.7,81.1,1.069,1.273,6.04,VMI
345,Saint Francis,105.3,131.1,0.075,1–2,1,3,51.8,59.8,34.1,24.9,18.4,13.4,28.3,24.4,66.9,56.3,61.9,27.1,38.2,7.2,11.8,37.5,51.7,28.7,43.9,69.4,76.789,78.899,2.352,"2,026",0,0,0.2,,71.9,74.4,1.066,1.191,3.765,Saint Francis
346,Alcorn St.,88.4,110.1,0.074,2–4,2,6,42.7,47.4,44.4,33.2,17.6,14.3,22.1,29.4,69.5,44.8,53,25.3,22.1,7.1,14.3,43,56.1,30.1,28.1,67.5,76.195,78.786,1.996,"2,026",0,0,1.726,,71.9,73.2,0.906,1.035,3.406,Alcorn St.
347,Chicago St.,98.7,123.6,0.07,0–3,0,3,45.4,58.3,28.6,46.4,14.3,22,28.2,37.6,65.2,46.3,52.5,28.8,46.2,5.1,12.2,52.8,65.8,29.7,34.4,65.5,75.656,78.564,2.498,"2,026",0,0,2.097,,66,80,0.982,1.187,7.833,Chicago St.
348,Fairleigh Dickinson,95,119,0.07,0–3,0,3,44.1,61.3,32.7,31.3,22.4,16.2,32.4,18.4,63.9,43.9,63.4,29.7,38.6,2.2,10.2,53.2,56.8,39.5,38,64.1,77.331,80.898,2.247,"2,026",0,0,0.601,,69.8,76.6,0.939,1.147,6.81,Fairleigh Dickinson
349,Manhattan,89.3,112.2,0.068,0–3,0,3,40.9,50.6,32.6,28.3,18,21.4,28.7,39.4,68.6,44.1,46.7,23.4,37.3,3.8,10.8,48.4,58.4,36.6,41.7,68.6,75.377,79.292,1.878,"2,026",0,0,6.529,,82.5,64.7,0.924,1.045,5.471,Manhattan
350,Delaware St.,89.1,112.8,0.062,2–3,2,5,45.7,45.1,30,40.4,21.4,16.6,38,32.5,61.1,47.7,47.3,27.3,26.6,5.9,11.9,41.6,46.8,28.5,29.8,61.6,76,80.116,2.02,"2,026",0,0,0.2,,70.4,75.7,0.969,1.02,0.949,Delaware St.
351,Maryland Eastern Shore,93.6,118.7,0.061,1–3,1,4,49.3,49.5,30.5,47.3,26.2,21.6,46.3,33.6,63.9,52.5,46.1,27.9,37,15.6,6.3,57.8,51.2,30.1,36.3,64.8,77.334,80.374,2.475,"2,026",0,0,0.2,,73.9,78.9,1.04,1.04,0.627,Maryland Eastern Shore
352,Lamar,82.1,104.3,0.06,0–3,0,3,41.2,51.6,18.8,36.6,22,22,34.5,30.7,65,49.1,57.1,17.7,29,13.2,8.8,46.3,52.9,35.2,40.5,66.5,77.202,81.122,2.101,"2,026",0,0,0.2,,60.6,75,0.846,1.025,5.075,Lamar
353,Mississippi Valley St.,93.4,119.1,0.058,1–4,1,5,48.1,50.4,38,62.7,24,17.9,29.4,32.5,68.8,48.3,49.1,31.8,35.2,7.1,10.1,61.1,52.2,32.3,35,67.8,76.757,80.553,2.199,"2,026",0,0,0.2,,72,73,0.941,1.103,4.114,Mississippi Valley St.
354,Southern Indiana,97.6,124.9,0.055,0–2,0,2,40.6,55.8,31.3,32.1,11.8,11.8,38.4,29,63.8,42,48.1,25,48.6,9.1,18.2,38.3,50,31.3,31.3,65.2,76.457,79.657,2.41,"2,026",0,0,3.122,,72.5,77.8,1.043,1.2,4.808,Southern Indiana
355,Army,90.7,116.6,0.053,0–3,0,3,47.1,54,17.9,40.7,20.3,17.9,30.2,24.7,70.6,62.2,59,25,30.6,10,4.1,65.3,43.6,61.1,38.3,71,75.966,78.29,1.327,"2,026",0,0,0.2,,76.5,72.7,0.968,1.053,2.903,Army
356,Coppin St.,94.6,122.2,0.05,0–3,0,3,46.3,53.8,37.4,37,18.5,17,35.1,34.8,68.5,48.3,52.4,27.8,37.1,19.4,14.2,43.8,55,31,40.5,66.7,77.577,80.336,2.091,"2,026",0,0,3.476,,67.7,76.6,0.997,1.143,5.512,Coppin St.
357,Louisiana Monroe,99,128.9,0.046,0–3,0,3,42.5,62.9,43.7,31.6,11,14,22.1,30.4,66.5,45.2,58.7,26.5,45.1,8.7,10.7,50,63.7,49.7,47.1,67.6,76.497,78.825,1.339,"2,026",0,0,0.2,,78.1,67.3,0.998,1.284,13.239,Louisiana Monroe
358,Northern Arizona,95.3,124.8,0.043,0–4,0,4,49.8,61.4,23,27.1,17.1,14.7,19.4,37.3,62.8,48.5,56.8,34.6,45.6,12.2,9.1,56.5,47.5,38,39.3,63.6,76.584,79.573,1.534,"2,026",0,0,0.2,,67.3,54.8,0.975,1.253,13.1,Northern Arizona
359,North Florida,96.4,126.6,0.042,1–2,1,3,45.6,53.6,40.3,27.3,12.7,14.1,21.5,39.3,71.1,53.9,55.3,25,33.8,3.3,13.5,36.6,46.7,50.8,36.6,71.8,77.166,79.455,1.693,"2,026",0,0,0.2,,78.1,75.5,1.04,1.162,2.758,North Florida
360,New Hampshire,94.5,124.8,0.039,1–3,1,4,49,59.9,29.7,24.1,13.6,16.5,27.2,23.1,64.3,51.6,58.7,30.8,41.1,6.5,8.7,43.1,50,48.8,39.5,66.4,76.053,79.235,1.362,"2,026",0,0,5.414,,52.1,78.2,1.03,1.158,4.967,New Hampshire
361,Northern Illinois,91.9,125.1,0.028,0–4,0,4,43.2,61.6,40.8,29.5,18.6,12.8,19.7,30.6,68.5,51.2,51.4,21.7,50.5,5,10.7,40.2,66.7,43.2,41.9,67.7,76.537,79.281,0.791,"2,026",0,0,1.132,,67.8,80.3,0.887,1.292,17.801,Northern Illinois
362,Denver,100.2,137.9,0.025,0–2,0,2,50.5,58.6,51.4,53.4,15.1,13.6,26.3,35.5,69.8,54,56.9,30.4,40.9,5.6,0,50,39,42.2,37.9,69.6,77.161,79.468,2.283,"2,026",0,0,0.2,,66.1,79,1.054,1.326,4.891,Denver
363,NJIT,82.1,113,0.025,1–3,1,4,40.9,52.7,25.6,30.8,20.6,19.8,27,31,65.6,44.5,52.8,23.2,35.1,6.3,13.9,36.3,55,37.4,42.5,68.1,76.443,79.938,1.086,"2,026",0,0,0.2,,69.6,70.6,0.831,1.071,3.734,NJIT
364,UMKC,88.4,126.9,0.015,0–3,0,3,43.7,60.3,38.3,30.7,12,15.9,19.2,34.1,69.2,40.6,56.3,31.6,44.8,8,8.3,48.4,46.2,45.1,37.4,69,76.952,80.241,2.263,"2,026",0,0,0.742,,56.7,63.6,0.921,1.21,2.835,UMKC
365,Western Illinois,84.8,125.2,0.011,0–2,0,2,42.6,54.7,40.7,22.8,17.4,13.1,20,30.8,68.9,35.5,58.2,34.8,30.6,2.2,16.1,52.6,46.9,42.6,28.3,68,77.115,79.019,2.059,"2,026",0,0,0.2,,54.5,65.5,0.842,1.146,5.148,Western Illinois
