Rank,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
146,UC San Diego,103.1,100.2,0.581,4–2,4,6,51.6,50.3,32.7,25.6,16.2,18.1,24.1,22.8,70,56.9,60.2,29,27.5,7.2,6.2,60.6,62.7,39.5,52.3,65.9,78.029,80.808,1.533,"2,026",0,0,0.2,,71.1,82,1.051,1.008,9.815,UC San Diego
147,Montana,107.1,104.1,0.581,4–2,4,6,54.8,46.2,38.2,31.4,18.5,11,14.5,28.5,72.9,56.9,50.6,34.7,26.4,5.4,5.5,47.7,38.7,44.3,39.9,71.6,77.224,79.279,1.682,"2,026",0,0,1.256,,74.2,76.8,1.025,1.061,10.842,Montana
148,Green Bay,117.5,114.4,0.576,2–1,2,3,56.7,50.3,35,24.5,11.6,7.9,20,27.9,63,61.7,49.5,28.6,34.2,7.2,3.5,60.2,57.5,26.8,39.7,62.1,76.799,79.023,1.675,"2,026",0,0,0.2,,85.5,66.7,1.189,1.136,5.351,Green Bay
149,Indiana St.,103.3,100.8,0.57,1–2,1,3,54.6,41.5,17.2,36.4,24.8,15.7,28.7,34.2,66,56,46.2,35.4,21.1,14.3,10.7,65.3,47.8,48.5,32.4,66.5,76.946,79.754,2.02,"2,026",0,0,0.2,,64.3,71.9,0.991,0.97,14.322,Indiana St.
150,Charleston Southern,111.5,108.8,0.57,2–1,2,3,57.8,44.7,37.1,48.2,15.3,12.7,21.9,33.8,76.1,52.5,45.7,42.5,28.6,7.8,11.1,57.3,29.1,46.8,35.2,75.1,77.036,80.283,2.203,"2,026",0,0,0.2,,63.8,69.8,1.135,1.074,7.654,Charleston Southern
151,Oregon St.,112,109.4,0.567,2–2,2,4,51.2,53.2,44.9,26.1,18,14.7,29,33.6,65.9,52.9,50.8,32.6,37.2,10.9,5.8,68.4,70,44,48.6,65.3,78.667,82.958,1.629,"2,026",0,0,0.778,,79.4,80,1.096,1.166,36.911,Oregon St.
152,Boston College,100.5,98.3,0.563,2–2,2,4,45.6,49.1,33.5,31.5,15.9,15.2,27.3,26.4,67.4,54.3,45.2,23,35.8,5.6,10.2,43.5,47.9,44.1,46.4,67.5,77.649,81.549,1.665,"2,026",0,0,56.227,,72.4,71.6,0.972,1.053,34.546,Boston College
153,Arkansas St.,106.3,104,0.563,2–1,2,3,49.5,49.2,47.9,34.8,19.3,14.3,37.5,24.3,74.4,52.4,48.2,30.6,33.8,10.9,8.6,61.7,56.4,44.7,40.2,74.5,78.423,81.508,2.145,"2,026",0,0,16.961,,64.8,64.1,1.106,0.994,3.869,Arkansas St.
154,Navy,112.6,110.2,0.562,3–1,3,4,56.8,51.1,38,19.7,14.3,19.9,35.2,31.6,62.9,55.1,48.6,39.8,35.7,15.3,6.5,66.1,54.3,37.6,50.2,63.9,74.669,78.585,2.573,"2,026",0,0,0.2,,69,77.3,1.229,1.042,2.598,Navy
155,Bradley,114.2,111.9,0.558,2–2,2,4,50.6,56.6,45.5,44.3,13.8,17.5,29.5,25.6,65.8,51.6,51,32.6,44.4,9.5,7,62.7,62.2,36.2,35.5,67,76.681,81.844,1.929,"2,026",0,0,1.007,,74.1,69.3,1.119,1.106,18.257,Bradley
156,Robert Morris,105.1,103.4,0.547,3–1,3,4,54.3,45.4,30.5,23.5,19,15.8,37.6,30.3,63.2,53.8,46.2,36.6,29.4,9,7.7,64.4,51.1,41.7,37,62.1,77.114,79.988,1.657,"2,026",0,0,7.29,,67.6,74.1,1.138,0.984,4.85,Robert Morris
157,San Diego,112.2,110.4,0.546,1–3,1,4,53.5,52.6,20.7,32.8,18.4,14.3,25.4,28.1,64.4,49.6,57.2,38.4,29.8,5.5,10.4,68,61.1,49.3,36.7,64.6,76.568,79.365,2.215,"2,026",0,0,23.06,,74.5,77.3,1.045,1.124,15.502,San Diego
158,Georgia Southern,118.3,116.5,0.544,6–2,6,8,57.4,55.7,37.6,41.9,14.5,19.6,29,35.2,68.8,57,53.8,38.5,38.7,8.8,3.7,41.2,51.9,53.3,42.4,68.4,76.867,80.027,2.509,"2,026",0,0,11.799,,81.4,71.4,1.209,1.157,9.369,Georgia Southern
159,Stephen F. Austin,108.1,106.5,0.543,3–3,3,6,49.3,50.9,27.1,32.8,13.7,18.5,30.7,34,64.3,50,54.5,32.1,29.8,11.4,12.3,43.9,52.6,37,37,65.1,75.534,78.373,2.248,"2,026",0,0,0.2,,73.5,75.5,1.088,1.075,15.712,Stephen F. Austin
160,Liberty,120.3,118.6,0.541,3–3,3,6,57.5,55.7,29.4,28.7,13,14.1,21.5,34.4,62.6,58.7,51.3,37.6,43.5,8.5,10.7,63.8,43.1,53.1,31.6,63.5,75.208,78.95,2.403,"2,026",0,0,1.517,,78.7,68.4,1.177,1.193,13.46,Liberty
