TeamName,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD
Illinois St.,50.2,51.8,31.3,34,28.2,26.7,21.8,16.7,33.6,33.7,50,52.6,79.3,69.9,40.6,37.7,46.7,49.1
Georgia St.,45.6,50.7,33.5,35.4,30.1,29.5,19.5,17.5,29,36.5,46.5,48.6,72.1,72.4,30.6,33.8,44.9,52.3
Princeton,52.5,48,32.2,29.3,28.4,22.8,16.9,14.5,34,33.1,53.5,47.2,71.3,68.9,40.7,32.6,47.9,43.3
Washington,48.8,47.1,31.7,25.4,26.4,34.6,19.9,18.4,31.3,29.7,50,48.6,74.9,70.7,36.6,37,46.7,60.1
Old Dominion,46.4,48.3,36.2,34.7,32.8,29,17.1,17.7,31.5,31.7,46.1,48.8,68,66.9,29.8,42.4,44.3,56.6
Maryland,51.1,47.9,33.8,27.8,30.2,27.2,16.2,18.4,33,32.1,52,47.7,73.9,72.7,37.5,31.7,46.3,48.1
Loyola Chicago,52.9,51.6,31.1,37.5,24.5,28.5,22.1,17.9,33.4,34.4,54.8,51.7,69.7,75.9,40.2,38.1,56.5,51.2
Virginia Tech,54.2,50.6,26.4,24.9,26.1,27.4,14.8,16.3,36.2,34.1,54.1,50.4,73.5,70.4,39.6,35.8,56.8,47.5
Tennessee St.,50.9,49.9,35.1,42.4,26.9,28.2,17.3,18.5,35.1,33.8,49.6,49.5,68.3,75.2,40.8,34.5,48.7,48.3
Colorado St.,54.8,52.2,29.8,29.6,19.6,27.1,16.7,17.9,35.5,35.8,55.8,51,74.2,74.4,38.4,43.1,61.5,50.6
Oklahoma,52.4,48,30.1,30.1,23.7,27.2,20,15.5,35.1,31.2,52.2,48.5,73.5,70.3,37.4,30.7,53.3,42.9
Notre Dame,52,52.1,23.3,26.5,19.6,26.5,13.4,13.6,35.8,34.3,50.6,52.4,76.3,74.5,43,36.1,46.8,50.7
Coppin St.,51,53.2,37.2,34.2,18.6,35.7,20.1,18.5,33.7,33.8,51.4,55,71.9,72.3,44.4,41.5,46.3,58.5
Milwaukee,51.8,48.2,31.9,29.4,32.7,32.8,21.5,17.7,35,31.4,51.4,49,73.1,73.9,38.2,41.6,49.6,49.4
Tennessee Martin,50.4,49.6,36.1,34,27,29,16.8,16.8,31.9,32.3,51.9,50.5,71.6,69.6,36.4,41.3,44.7,54.6
North Florida,53.3,52.4,28.4,23.5,26.2,32.9,17.3,14,36.4,35.5,52.1,52.1,72,73.4,47.8,29.3,47.2,52.1
UT Rio Grande Valley,51.2,52,45.9,38.9,29,29.5,22.2,16.9,33.5,34.8,51.7,51.9,69.6,74.6,35,34.8,55.3,61.3
Tennessee Tech,51.4,51.7,29.9,25.8,23.8,30.2,17.8,18,37.3,34,48.1,52.1,71.5,74.3,42.5,39.2,54,56.9
Fairleigh Dickinson,51.5,55.8,27.9,34.8,31.4,28.9,16.3,21.4,34.4,36.9,51.4,56.1,74.9,75.6,37,40.1,51.5,56.4
Northwestern,47.2,48.4,29.7,31.6,28.3,27.3,14.8,21.7,32.1,33.9,46.5,46.6,75.1,67.7,41.2,42.4,55,61
TCU,50.2,47.8,33.9,29.7,32.4,30.7,17.1,21.9,30.6,30.4,51.9,49.1,70.1,71.1,29.4,35,58.6,55.9
Pittsburgh,53.2,49.2,32.4,30.6,30.4,28.2,16.4,16.7,36,33.4,52.7,48.6,76.1,71,44.1,39.8,54.5,52.9
Saint Mary's,52.5,46.7,31.2,30.3,33.1,21.8,16.4,19,36.7,32.8,51,45.6,69.1,75.2,37,31.8,48.3,36.6
Texas Tech,52.3,48.9,34.8,28.4,32.1,30.1,19.9,19.9,34.5,32.4,52.6,49.1,72.2,71.1,36.8,42.8,49.7,54.5
Utah Tech,53.2,53.8,44.8,35,28.7,26.8,21.4,20,37.6,36.5,50.9,53.3,70.3,73.4,41.7,36.6,51.2,53.1
Oregon St.,46.5,49.6,33.9,33.9,25.3,30.6,20.8,18.2,31.9,33.7,45.7,49.1,75.4,71.6,37,38.8,46.7,58.1
Belmont,55.3,51.1,24.3,29.3,25.4,30,16.8,17.7,38.9,35.6,53.2,49.8,72.5,66.4,41.5,33.5,54.2,49
The Citadel,49.3,52.4,28.9,33.9,20.8,31.7,18.2,16.9,32.5,33.9,49.6,53.5,75.3,72.2,38.7,41.5,46.7,51.9
North Alabama,51.3,52.4,30.9,32,23.2,28.1,15.6,15.2,36.1,37.7,49.9,50,70.7,71.8,34.6,36.6,41.1,52
South Carolina,46.9,52.6,26.8,29.4,32.7,32.5,19.9,15.9,32.3,33.8,45.8,53.7,66.1,67.4,40.9,36.3,47.6,54.4
Lamar,47.6,53,32.2,30.8,31.9,33.5,21.2,17.1,31.9,34.1,47.5,54.5,71.1,67.4,30.6,43.9,52.7,64.4
Minnesota,49,50.5,30.8,24.8,25,30.8,19.6,14.8,32.5,35.9,49.2,49.1,61.9,70.7,35.5,31.3,63.1,51.9
Louisville,48,54.1,32.9,30.6,28.2,30.1,22.3,15.2,32.9,35.2,47.3,54.9,74.1,72.2,35.8,39.7,41.8,56.1
East Carolina,47.1,49.2,37.1,33.1,33,28.9,19.2,17.4,31.6,32.9,46.9,49.2,68.8,71.5,41.6,34.5,56.3,49.9
Indiana St.,56.4,48.2,31.9,31.4,21.7,22.7,16.7,17.5,35.7,31.8,58.8,48.5,76.8,73.2,46.2,36.1,57.3,40.2
Wisconsin,48.5,50.3,24.1,28,22.4,25.4,13.5,18.6,35,32.3,45.8,51.3,67.1,68.6,40.5,35.8,49,43.3
South Carolina St.,46.9,57.7,29.2,43.5,34.2,34.5,20.9,21,30.8,39.5,47.3,56.8,66.1,72.2,34,36.7,51.7,58.8
LSU,47.3,51.8,33.7,30.3,31.7,28.8,18.4,17.5,32.7,34.3,46.2,52.1,72.2,72.2,38.9,41.6,52.9,52
Niagara,50.3,49.8,30,33.5,26.5,28.6,18.5,16.9,33.8,36,50.1,48,72,73,34.4,30.3,45.1,44.1
Maryland Eastern Shore,47.6,50.6,31.4,34.4,27.1,31.7,21.1,24.9,32.6,32.9,46.8,51.4,71.5,71.5,39.5,37,55.2,55
Florida A&M,45,51.1,31.4,44.6,27.6,33.6,24,18,32.1,33.2,43.2,51.8,70.5,66.4,35.5,34.6,47.4,50.6
Seattle,46.3,48.8,32.4,33.3,29.9,26.6,16.9,17.8,30.9,32.3,46.4,49,71.4,70.8,44.7,34.7,48.1,51.8
Wyoming,51.6,53.4,33.4,28.9,24.2,25.3,18.2,16.4,34.7,36.4,51.3,52.6,71.3,78.9,45.5,39.4,46.1,49.2
Louisiana Monroe,45.2,51.7,30,28.6,27.3,29.9,18.7,17.6,34.2,36,41.6,50.3,70.9,73.7,37.6,38.6,51.2,53.9
Utah,48.9,45,29.2,24.4,31.3,27.4,18,15.2,33.3,30.2,48.4,44.9,70.8,66.2,37.6,35.1,57.8,53.5
Kansas St.,51.5,47.5,37,36.7,31.1,29.2,20,20.7,34,30.1,51.8,48.8,75,69.2,36.3,36.8,64,56
Georgia,47.1,49.8,40.5,28.9,30.5,30.5,19.3,16.8,31.7,31.9,46.8,51,72.7,69.3,38.2,36.7,49.2,55.8
