,team,This matches from B to L,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,,Team,This matches from L to B,,This matches from B to L
98,Rutgers,Rutgers,98.65358641,91.88598269,16.4,28.8,31.3,44.7,6.767603713,-2.482761735,,San Jose St.,San Jose St.,,Rutgers
96,Arkansas,Arkansas,110.4418441,102.6669051,16.7,35.7,33.7,53.3,7.77493908,-2.497837161,,Creighton,Creighton,,Arkansas
95,Northern Iowa,Northern Iowa,111.6507606,103.739913,16.1,35.4,37,53.8,7.910847656,-2.53508293,,Boston College,Boston College,,Northern Iowa
85,Samford,Samford,111.8393132,102.7209891,19.8,40.8,32.3,53.5,9.118324053,-2.558022328,,Saint Joseph's,Saint Joseph's,,Samford
102,LSU,#N/A,105.1969867,98.1580303,18.7,29.7,33.2,54.3,7.038956453,-2.651786564,,Northern Colorado,Northern Colorado,,LSU
91,Louisiana Tech,Louisiana Tech,106.6289057,98.73575519,19,32.3,34.9,47.4,7.89315046,-2.767228219,,South Carolina St.,South Carolina St.,,Louisiana Tech
109,Penn St.,#N/A,107.1443629,101.0961135,15.8,31.8,30.6,52,6.048249335,-2.826267906,,Eastern Washington,Eastern Washington,,Penn St.
92,UC Irvine,UC Irvine,106.8042585,98.9905721,18.7,36.2,33.1,51.2,7.813686416,-2.871951286,,Rutgers,Rutgers,,UC Irvine
94,Bradley,Bradley,107.0792033,99.48726173,19.7,35.9,31.1,54.1,7.591941559,-2.900165649,,Michigan,Michigan,,Bradley
116,McNeese St.,#N/A,108.7441311,103.4744858,13.5,28.9,32.8,48.8,5.269645342,-2.915666342,,UNC Wilmington,UNC Wilmington,,McNeese St.
111,Drexel,Drexel,104.3641207,98.83583893,18.2,26.8,29.8,50.2,5.528281733,-3.069148143,,Tulsa,Tulsa,,Drexel
110,St. Thomas,#N/A,106.8519384,100.9003433,16.8,31.8,30.9,51.7,5.951595099,-3.08622699,,Delaware,Delaware,,#N/A
113,Cornell,Cornell,114.739093,108.8027394,18.9,30,34,63.8,5.936353557,-3.16502433,,Charlotte,Charlotte,,Cornell
103,VCU,VCU,110.1046671,102.9064595,19.2,37.1,31.1,54.1,7.198207646,-3.168543336,,Montana,Montana,,VCU
108,High Point,High Point,116.6555586,109.9923881,16.6,34.1,36.4,55,6.663170524,-3.17461598,,Northern Iowa,Northern Iowa,,High Point
125,Missouri St.,#N/A,103.8012574,99.37297861,18.5,23.8,27.8,53.2,4.428278749,-3.260049963,,Belmont,Belmont,,Missouri St.
119,Delaware,Delaware,108.746158,103.7803808,15.1,29.5,32.8,52.3,4.965777123,-3.320925955,,Virginia Tech,Virginia Tech,,Delaware
121,Belmont,Belmont,110.9118891,106.0199035,17.9,26.3,31.6,55.4,4.891985615,-3.348138775,,Western Michigan,Western Michigan,,Belmont
126,Tulane,Tulane,112.8442994,108.0408828,15,30.7,34.5,61.1,4.803416577,-3.387365888,,Connecticut,Connecticut,,Tulane
123,UC San Diego,#N/A,108.8746699,104.1160168,15.2,28.9,34.1,52.6,4.758653085,-3.502971618,,Winthrop,Winthrop,,#N/A
97,Florida St.,#N/A,107.0111941,99.62056225,16.8,42.8,34.1,49.3,7.390631821,-3.564914589,,Washington St.,Washington St.,,Florida St.
118,Akron,Akron,108.2095636,103.012885,18.8,29.4,34.1,55,5.196678638,-3.815326031,,Florida St.,Florida St.,,Akron
112,Maryland,Maryland,103.0430484,97.60416293,17.6,31.6,34.2,49.3,5.438885429,-3.850679888,,Baylor,Baylor,,Maryland
115,Santa Clara,Santa Clara,107.8691664,102.4892177,18.8,31.8,32.8,52.6,5.379948716,-3.895931283,,Georgia St.,Georgia St.,,Santa Clara
117,Western Carolina,Western Carolina,107.6668806,102.4837029,15.4,35.5,34.4,52.5,5.183177704,-3.9217116,,Florida,Florida,,Western Carolina
129,Wichita St.,#N/A,104.0620107,100.4717806,17.3,25.4,30.1,49.2,3.590230026,-4.023259684,,Middle Tennessee,Middle Tennessee,,Wichita St.
