,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
40,Baylor,117.3,99.3,0.872,5–6,5,11,48.4,50.2,37.4,32.7,18.4,16.9,34.1,30.8,65.3,48.6,49.9,32,33.7,5.6,9.4,53.9,56.5,41.3,39.3,65.9,76.978,79.621,1.863,"2,025",0,0,56.599,,77.7,73.8,1.061,1.058,47.459,Baylor
41,Vanderbilt,123,104.4,0.868,4–7,4,11,49.5,57.8,33.3,43.2,16.2,16.2,32.6,31.4,69.3,50.1,56.6,32.3,39.7,9.4,13.3,47.2,47.9,39.5,40.3,68.7,76.251,78.992,1.973,"2,025",0,0,36.793,,76.8,74.1,1.088,1.197,56.722,Vanderbilt
42,Cincinnati,116.3,98.9,0.866,5–6,5,11,51.5,52.6,20.5,20.6,16,18.6,30.4,29.9,65.5,52.1,52.3,33.5,35.4,9.4,8.6,47.8,51.7,35.7,35.8,65.8,78.301,81.559,2.119,"2,025",0,0,54.587,,69.4,77.7,1.061,1.061,42.504,Cincinnati
43,Villanova,116.8,99.6,0.862,6–4,6,10,53.4,50.6,26.1,23.4,14.5,16,22.1,26.8,62.7,49.2,52.3,39.5,32.6,6.3,10,47.9,61.5,41.9,48.8,62.8,77.314,80.294,2.436,"2,025",0,0,60.099,,84.9,67.9,1.095,1.047,30.792,Villanova
44,Marquette,115.8,98.9,0.86,4–6,4,10,50.6,49,23.7,31.1,14.8,19.6,32.7,34.9,65.5,53.1,48.4,31.7,33.3,10,11.9,48.3,57,45.6,38.7,66.2,77.733,80.586,2.08,"2,025",0,0,62.582,,67.8,71.9,1.088,1.04,37.069,Marquette
45,Indiana,112.9,96.6,0.857,5–4,5,9,50.4,48.8,32.9,33.5,14.1,16.8,27.1,26.5,66.2,52.2,49.5,31.6,31.8,8.1,9.9,56.3,52.4,37,40.5,65.9,78.702,81.536,2.054,"2,025",0,0,79.159,,68.6,79.5,1.065,1.034,44.402,Indiana
46,Boise St.,114.7,98.2,0.856,8–2,8,10,50.9,49.5,39.5,31,16.5,16.2,33.2,20.9,65.6,55.4,51.1,30.2,30.9,7,10.4,57,39.7,44.4,33.6,65.4,78.047,80.212,1.907,"2,025",0,0,13.763,,78.9,70.1,1.122,0.992,21.797,Boise St.
47,Utah St.,126.8,108.6,0.856,6–4,6,10,56.5,54.7,38.8,40.4,14.3,19.3,33.9,30.6,66.5,57.2,55.5,37,35.9,9.2,10.2,55,55.1,41.8,47,66.1,77.307,80.503,2.079,"2,025",0,0,17.997,,69.2,75.5,1.199,1.124,27.143,Utah St.
48,SMU,121.4,104,0.856,6–4,6,10,56.2,50.3,37.5,31.3,17.9,17.6,35.9,33.7,67,55.6,50.9,38.2,33.1,7.9,10.5,54.7,63.2,37.7,43.8,67.6,77.847,82.293,2.221,"2,025",0,0,59.123,,67.8,75,1.159,1.088,24.394,SMU
49,New Mexico,111.2,95.8,0.847,8–2,8,10,52.8,49.6,42,36.7,15.9,20.2,30.1,23.1,71.9,52.9,50.7,35,32,14.5,9,46.6,61.6,33.8,39.7,73.7,78.32,81.24,2.039,"2,025",0,0,45.874,,69.8,66.3,1.109,0.962,26.764,New Mexico
50,Kansas St.,106.4,91.7,0.847,6–5,6,11,47.2,47.8,25.6,33.3,17.9,18.8,27.7,30.5,69.1,48.8,53.6,29.7,26.1,10.1,12,56.7,62.2,37,40.3,67.9,77.263,81.163,2.3,"2,025",0,0,47.723,,69.4,72.7,0.98,0.989,45.437,Kansas St.
51,San Diego St.,111.3,96,0.846,7–3,7,10,52.7,47.8,37.1,33.8,16.6,19.8,27.8,31.6,65.5,56.5,47.2,31.6,32.4,19.3,9.3,53.6,45.2,42.5,44.8,65.9,78.126,81.946,1.611,"2,025",0,0,41.525,,65.3,69,1.076,0.992,24.623,San Diego St.
52,Liberty,110.4,95.3,0.844,8–2,8,10,56.5,45.9,33.8,22.5,15.1,16.4,16.6,25,66.4,56.3,49.2,37.7,27,8.2,10.2,65.4,43.9,51.8,37.9,66.2,75.671,79.402,2.266,"2,025",0,0,2.606,,67.4,74.2,1.077,0.958,14.291,Liberty
53,Michigan,109.6,95,0.838,7–4,7,11,49,48.1,35.6,25.1,19.8,14.7,30.1,31.8,70,54.9,46.4,26.3,33.7,7.4,7.8,49.1,46,38.8,40.8,69,79.115,83.398,2.228,"2,025",0,0,57.812,,70.9,72.9,1.003,1.05,45.281,Michigan
54,Ohio St.,120.1,104.2,0.837,4–6,4,10,50.9,53,35.3,42.3,14.2,16.8,27.9,35.7,67.8,48.1,55.4,36.9,32.1,8.4,8,46.4,47.4,39,33.7,67.1,76.668,79.614,1.601,"2,025",0,0,67.449,,77.7,76.9,1.11,1.139,41.211,Ohio St.
55,Oklahoma St.,111.7,97.1,0.834,5–6,5,11,48.4,50.6,40,36.6,17.2,20,25.9,34.6,73.1,49.2,51,31.3,33.4,9.8,11.4,52.9,59.2,35.5,45.4,72.9,77.025,80.148,2.525,"2,025",0,0,37.964,,73.8,74.4,1.005,1.074,43.994,Oklahoma St.
56,San Francisco,110.8,96.4,0.832,7–2,7,9,49.5,50.4,33.8,36.3,15.2,17.5,29.7,26.6,69.4,53.3,58.2,29,24.7,6.6,6.6,47.3,52.8,38.6,36.9,68.6,77.587,80.991,1.758,"2,025",0,0,26.654,,76.1,66.7,1.088,1.009,28.096,San Francisco
57,Oklahoma,116,101,0.831,4–7,4,11,52.1,54.4,44.9,41.1,17.6,15.7,25.6,27.8,71.6,51.4,57.2,35.4,33.8,4.6,12.8,48.5,51.8,39.5,42.8,70.7,77.14,80.397,2.26,"2,025",0,0,48.332,,79.5,75,1.079,1.139,52.738,Oklahoma
58,Drake,113.1,98.6,0.829,11–1,11,12,53,52.1,43.2,34.4,16.8,21,34.1,24.2,58.2,54.5,55.4,33.6,31.6,8,7.9,54.8,51.8,36.2,41.1,58.3,77.41,79.116,2.226,"2,025",0,0,0.2,,71,72.3,1.137,0.994,12.556,Drake
59,Mississippi St.,118.3,103.7,0.82,4–6,4,10,49.6,56.4,33.9,34.1,15.6,16.4,31.5,28.4,70.5,53.5,54,29.5,39.4,15.4,8.6,52.4,57.3,42.2,48,69.1,77.214,80.473,2.058,"2,025",0,0,58.108,,71.2,72.1,1.08,1.152,50.173,Mississippi St.
60,Utah,116.9,102.9,0.813,4–7,4,11,49.4,51.8,38.5,35.3,17.9,14.9,36.3,26.4,68.4,50.6,50.3,32,36,7.7,13.2,61.3,53.4,45.2,41,68,79.632,82.384,2.129,"2,025",0,0,53.727,,66.4,71.6,1.073,1.091,42.141,Utah
61,Loyola Chicago,111.7,98.4,0.811,9–2,9,11,55.8,46.5,26.4,30.9,17.6,16.6,26.6,27.4,66.8,54.7,45.7,38,31.7,15.1,10,63.8,51.8,47.1,39.7,67.8,77.776,80.181,2.287,"2,025",0,0,13.901,,67.3,79.1,1.089,1.003,14.868,Loyola Chicago
62,Rutgers,117.8,103.8,0.811,4–6,4,10,50,55.3,36.7,29.9,16.1,17.5,30.8,36.2,69,50.3,55.5,33,36.6,10.2,9.9,43.2,48.3,36.3,36.7,68.1,78.55,81.28,1.277,"2,025",0,0,51.7,,76.4,68.1,1.087,1.145,41.975,Rutgers
63,Penn St.,113.4,101,0.791,3–6,3,9,52.2,53.6,36,29.3,19.9,16.5,25.5,28,68.2,53.4,50.6,33.5,39.3,11,10.8,57.9,68.2,38.8,35.3,68.9,77.903,81.137,2.275,"2,025",0,0,57.579,,78.2,76.3,1.045,1.095,40.167,Penn St.
64,Wake Forest,113.9,101.5,0.79,6–4,6,10,50.9,50.4,41.9,34.6,15.8,17.7,26.2,33,67.2,52.1,54.2,32.1,30.5,8.8,8.9,46.8,57.9,29.9,46,68.2,77.69,80.776,2.214,"2,025",0,0,69.85,,78,77.2,1.084,1.08,29.166,Wake Forest
65,USC,119,106.1,0.789,3–8,3,11,55.5,55,33.6,35,19.3,17.1,28.7,35.5,68.5,52.8,55.2,40.2,36.4,10.1,10.1,54.3,59.9,36.1,36.9,68.8,78.274,79.84,2.22,"2,025",0,0,49.132,,76,74.1,1.101,1.155,43.956,USC
66,Butler,120.5,107.7,0.784,4–5,4,9,55.6,53,29.1,17.7,15.6,11.2,25.5,25.8,69.3,53.5,54.8,39.1,33.6,6.7,10.2,51.6,57.4,40.6,41.6,69.3,78.858,81.963,2.366,"2,025",0,0,48.766,,74,77.9,1.126,1.128,33.25,Butler
67,Iowa,120.1,107.6,0.78,3–7,3,10,52.6,56,22.5,30.9,13.4,14.1,26.6,29.5,67.9,52,55.6,35.7,37.6,8.3,10,58.8,54.7,39.8,43.3,67.4,78.122,80.637,1.768,"2,025",0,0,54.528,,76.8,75,1.105,1.185,45.989,Iowa
